courseName,courseCode,cohortSize
Theology, Ethics and Technology,DIVI11027,3
The Holocaust in History and Culture (PG),DIVI11037,5
Christianity and Colonialism in Africa, 1800 to the present (PG),DIVI11039,1
Issues of Religion and Ethics in Literature,DIVI11042,6
Christianity and Politics in Latin America, 1800 to the present (PG),DIVI11043,3
Science, Sorcery and Wonder in Islam (PG),DIVI11045,11
Apocalypse: The Book of Revelation in History and Culture (PG),DIVI11046,11
Apocalypse: The Book of Revelation in History and Culture (online),DIVI11047,14
Mission, Media, and Migration: The Making of a World Church (PG),DIVI11049,4
Theology, Ecology, and Climate Change: Christian thought in a changing world (PG),DIVI11050,3
Theology, Ecology, and Climate Change: Christian thought in a changing world (online),DIVI11051,3
Intermediate New Testament Greek (PG),DIVI11052,6
Introducing Classical Syriac (PG),DIVI11053,2
Introducing Sanskrit (PG),DIVI11054,2
Intermediate Sanskrit (PG),DIVI11055,2
Gender and Ethics in Islam (PG),DIVI11056,6
Pioneers of Political Islam (PG),DIVI11057,4
MThR/MScR Track A Long Supervised Research Essay,DIVI11059,1
MThR/MScR Track A Short Supervised Research Essay 1,DIVI11060,1
MThR/MScR Track A Short Supervised Research Essay 2,DIVI11061,1
MThR/MScR Track B Supervised Research Essay 1,DIVI11062,2
MThR/MScR Track B Supervised Research Essay 2,DIVI11063,2
PGT Supervised Research Essay,DIVI11064,1
Oceanography,EASC08004,117
Introduction to Geophysics,EASC08008,84
Natural Hazards,EASC08011,84
Physics of the Earth,EASC08016,18
Global Tectonics and the Rock Cycle,EASC08020,60
Geomaterials,EASC08021,73
Environmental Geochemistry of the Earth's Surface,EASC08024,33
Geophysical Data Science,EASC08025,30
Earth Modelling and Prediction 2,EASC08026,43
Earth Science Data Analysis 1,EASC08028,98
Earth Sciences for Society,EASC08029,106
Geology and Landscapes,EASC08030,100
Field Course in Tropical Marine and Terrestrial Geoscience,EASC09036,23
Field Skills for Geology and Physical Geography,EASC09051,11
Structural Analysis of Rocks and Regions (SARR),EASC09052,39
Mathematical and computational methods in Geophysics,EASC09054,7
Research Training for Geophysics,EASC09055,7
Global Environmental Change- Foundations,EASC09056,27
Environmental Geosciences Projects,EASC10009,18
Geology Dissertation,EASC10011,7
Hydrocarbon Reservoir Quality,EASC10015,5
Geomagnetism,EASC10036,12
Dissertation in Geology and Physical Geography,EASC10043,8
Applied Environmental Geochemistry,EASC10048,21
Environmental Problems and Issues,EASC10049,21
Geophysics Project,EASC10065,10
Formation and Evolution of Continents,EASC10080,6
Hydrogeology 1: Applied Hydrogeology,EASC10082,30
Environmental Geoscience 4th Year Field Course,EASC10086,21
Geoscience Outreach and Engagement,EASC10087,14
Ore Mineralogy, Petrology and Geochemistry,EASC10094,6
Topics in Palaeobiology and Evolution,EASC10100,6
Applied Hydrogeology and Near Surface Geophysics,EASC10101,45
Practical Geochemistry and Data Analysis,EASC10103,47
Field Skills for Geology,EASC10105,23
Palaeontology and Sedimentology,EASC10106,37
Igneous, Metamorphic and Ore Processes,EASC10107,30
Petroleum Systems,EASC10108,14
Geophysical Imaging and Inversion,EASC10109,8
Geophysical Measurement and Modelling,EASC10110,7
Geophysics International Field Course,EASC10111,14
Planetary Interiors,EASC10115,10
Geophysical Investigation of Earth Resources,EASC10116,6
Nuclear Waste Management: Principles, Policies and Practice,EASC10119,4
Evolution of the Modern Earth and Cyprus Excursion for Geology and Physical Geography,EASC10120,8
Evolution of the Modern Earth and Cyprus Excursion for Geologists,EASC10121,7
Geophysics Professional Placement,EASC10122,3
Changing Marine Biogeochemical Cycles,EASC10123,22
Geological Evolution of the British Isles,EASC10124,9
Hydrogeology 2: Simulation of Groundwater Flow and Transport,EASC10126,11
Earth's Atmospheric Composition,EASC10127,32
Planetary Science,EASC10128,19
Scientific Computing Skills,EASC11005,4
Geophysics Professional Placement,EASC11006,3
Natural Hazards and Risk,EASC11008,24
Exploring the Subsurface,EASC11009,2
Creeds, Councils and Controversies: Patristic and Medieval,ECHS11003,10
Creeds, Councils and Controversies: Reformation and Modern,ECHS11004,5
Dissertation (MTh/MSc in Theology in History),ECHS11009,6
Augustine: Confessions, City of God, On the Trinity,ECHS11014,2
Theology in the Long Reformation 1400-1600,ECHS11020,5
Martyrdom, Monasticism and Mysticism: Women Writers of the Early and Medieval Church,ECHS11021,7
Ecology Synoptic Paper,ECLG10006,14
Biological Sciences (Ecology) Field Course,ECLG10007,14
Ecology Research Project,ECLG10008,14
Conservation and Management of Natural Populations,ECLG10009,29
Dissertation (Ecology, Evolution and Biodiversity),ECLG11001,11
Research Project Proposal (Ecology, Evolution and Biodiversity),ECLG11002,11
Professional Skills for Ecology and Evolution,ECLG11003,11
Biodiversity Under Pressure,ECLG11004,13
Eco-evolutionary Responses to Anthropogenic Change,ECLG11005,11
Economic Applications,ECNM08003,86
Economic Principles,ECNM08004,384
Economics 2,ECNM08006,341
Economics 2 (VS1),ECNM08011,1
Economics 1,ECNM08013,445
Economics 1 (VS1),ECNM08014,2
Statistical Methods for Economics,ECNM08016,306
Introductory Financial Economics,ECNM08019,244
Introductory Environmental Economics,ECNM08020,40
Development, Inequality and Trade,ECNM08024,94
Global Priorities,ECNM08025,157
Introductory Behavioural and Experimental Economics,ECNM08026,8
Natural Resource and Environmental Economics,ECNM10022,13
Economics Honours Dissertation,ECNM10030,302
Essentials of Econometrics,ECNM10052,391
Applications of Econometrics,ECNM10056,313
Development Economics,ECNM10061,87
Behavioural Economics,ECNM10066,109
Economics of Sport,ECNM10068,51
Topics in Macroeconomics,ECNM10069,317
Topics in Microeconomics,ECNM10070,367
Advanced Mathematical Economics,ECNM10085,54
Advanced Mathematical Economics,ECNM10085,4
The Economics of Cities and Regions,ECNM10086,138
International Economics,ECNM10087,118
Experimental Economics,ECNM10090,54
Key Developments in Modern Economic Analysis,ECNM10096,98
History of Monetary, Capital and Interest Theories,ECNM10098,122
Unemployment and Labour Market Dynamics,ECNM10100,14
Economics of Organisations,ECNM10101,45
Fiscal Policy, Macroeconomics and Inequality,ECNM10104,55
Firms, Markets, and Competition,ECNM10107,35
Applied Financial Econometrics,ECNM10108,77
Data Science in Economics,ECNM10109,60
Modelling the Financial Crisis and its Aftermath,ECNM10110,22
Game Theory,ECNM10111,65
Applied Labour Economics,ECNM10112,27
Economics of Education,ECNM10113,34
Climate Change and Environmental Economics,ECNM10114,98
Programming and Numerical Methods for Economics,ECNM10115,98
Mathematics, Statistics and Econometrics,ECNM11002,66
Advanced Topics in Macroeconomics,ECNM11005,NA
Advanced Topics in Microeconomics,ECNM11006,6
Development and Methodology of Economic Thought,ECNM11008,NA
Economics of Labour Markets,ECNM11009,9
Health Economics,ECNM11013,NA
Industrial Organisation,ECNM11014,13
International Money and Finance,ECNM11015,19
International Trade,ECNM11016,5
Economic Policy,ECNM11017,10
Macroeconomics 2,ECNM11022,67
Microeconomics 1,ECNM11023,61
Macroeconomics 1,ECNM11024,67
Microeconomics 2,ECNM11025,67
Environmental and Natural Resource Economics,ECNM11028,NA
Development Economics,ECNM11030,11
Asset Pricing,ECNM11031,23
Corporate Finance,ECNM11032,24
Topics in Economic History,ECNM11041,9
Econometrics 1,ECNM11043,68
Advanced Microeconometrics,ECNM11048,7
Advanced Time Series Econometrics,ECNM11049,12
Econometrics Project,ECNM11051,67
Dissertation (MSc Economics/Economics(Finance)),ECNM11052,NA
Experimental Economics and Finance,ECNM11053,5
Bayesian Econometrics,ECNM11060,6
Dissertation (MSc Economics (Econometrics)),ECNM11069,NA
Self-study Mathematics,ECNM11070,39
Dissertation (ESRC),ECNM11071,NA
Advanced Mathematical Economics,ECNM11072,2
Mathematical Microeconomics 1,ECNM11073,7
Advanced Topics in Applied Microeconomics 1,ECNM11074,NA
Advanced Topics in Applied Microeconomics 2,ECNM11075,NA
Advanced Topics in Economic Theory 1,ECNM11076,NA
Advanced Topics in Economic Theory 2,ECNM11077,NA
Advanced Topics in Macro & Labour Economics 1,ECNM11078,6
Advanced Topics in Macro & Labour Economics 2,ECNM11079,NA
Numerical Methods in Economics,ECNM11080,3
Research Methods in Econometrics,ECNM11081,7
Research Methods in Macroeconomics,ECNM11082,7
Research Methods in Microeconomics,ECNM11083,7
PhD Research Seminar,ECNM11084,7
PhD Dissertation Prospectus,ECNM11085,7
Dissertation in Mathematical Economics and Econometrics,ECNM11088,4
Econometrics 2 - Time Series,ECNM11089,56
Econometrics 2 - Microeconometrics,ECNM11091,16
Machine Learning, Big Data and Text Analysis for Economists,ECNM11094,6
Intensive Intermediate Microeconomics (Pre-sessional),ECNM11095,37
Intensive Intermediate Macroeconomics (Pre-sessional),ECNM11096,37
Research Project (Economics),ECNM11097,NA
Dissertation (MSc Economics / Economics (Econometrics) / Economics (Finance)),ECNM11098,62
Statistical Learning with Applications in Python,ECNM11099,29
Research Design and Qualitative Methods,ECNM12001,NA
Soil, Water and Atmospheric Processes,ECSC08003,85
Field Ecology,ECSC08007,69
Ecological and Environmental Analysis,ECSC08008,60
Sustainability, Society and Environment,ECSC08010,80
Introduction to Ecological and Environmental Sciences,ECSC08011,63
Principles of Ecology,ECSC08012,87
Natural Resource Management,ECSC09002,39
Ecological Measurement,ECSC09004,38
Environmental Pollution,ECSC09005,66
Effective Project Planning and Management,ECSC10025,16
Dissertation in Ecological and Environmental Sciences,ECSC10030,44
Dissertation in Ecological and Environmental Sciences with Management,ECSC10031,15
Professional Skills in Ecological and Environmental Sciences,ECSC10032,58
Ecological and Environmental Science field course (including management),ECSC10033,59
Critical Thinking in Ecological and Environmental Sciences,ECSC10034,59
Conservation Science,ECSC10036,40
Current Issues in Ecology and Environmental Science,ECSC10037,39
Data Science in Ecology and Environmental Science,ECSC10038,36
Plant Physiological Ecology,ECSC10039,13
The Global Economy since 1750,ECSH08043,56
Leisure and the Rise of Industrial Society in Britain C.1780-1880,ECSH10004,20
Youth and Modernity, c.1880-1970,ECSH10070,25
Tradition and Transformation in the Chinese Economy, 1842-1949,ECSH10087,18
London Life in the Eighteenth Century: Society and Culture,ECSH10091,24
Time, Economics and Resource Allocation in Britain 1930-1990,ECSH10094,25
Cheap Print and Popular Culture in Britain, 1500-1800,ECSH10103,13
Disease, Medicine and Society in Britain since 1750,ECSH10106,16
The Demon Drink: producing, consuming and opposing alcohol in Britain and Ireland, c. 1760 to 1921,ECSH10107,23
Community Learning 1: Building Professional Identity,EDUA07004,16
Domains of Practice 1: Engaging with the literature in Community Learning & Development (CLD),EDUA07005,16
Community Based Research 1: Understanding the Community,EDUA07007,16
Ideology and social problems,EDUA07008,16
Professional Practice Placement 1,EDUA07009,16
Childhood Studies Work Based Learning 1: Professional Development,EDUA08045,21
Children and Childhoods,EDUA08090,20
Children and The Family,EDUA08091,21
Children, Education and Social Justice,EDUA08092,30
Children's Health and Wellbeing,EDUA08093,31
Mathematics in Primary Education,EDUA08096,10
Primary Literacies 1: Developing literacy in the early stages,EDUA08097,14
Educational Studies 2a: Child & Adolescent Development in Education,EDUA08099,101
Educational Studies 1b: Teaching, learning and the Curriculum for Excellence,EDUA08100,109
Physical Education Curriculum and Pedagogy 2: The Early Secondary Years,EDUA08104,85
Educational Studies 1a: Introduction to Education and Education Research,EDUA08105,17
Primary Studies 1: The Nature of Knowledge,EDUA08106,9
Physical Education Curriculum and Pedagogy 1: An Introduction to Physical Education,EDUA08107,95
Primary Studies 2: Learning and Integrating the Curriculum,EDUA08111,8
Student-Led, Individually-Created Course (SLICC; Summer Year 2),EDUA08112,1
Student-Led, Individually-Created Course (SLICC; Summer Year 1),EDUA08113,1
Sustainability and Social Responsibility (UG),EDUA08116,38
Health and Wellbeing 1,EDUA08117,98
Health and Wellbeing 2,EDUA08118,85
Physical Culture: Philosophical and Sociological Perspectives 2,EDUA08119,85
Physical Culture: Philosophical and Sociological Perspectives 1,EDUA08120,85
Professional Practice Placement 2,EDUA08121,8
Professional Practice Placement 2,EDUA08121,7
Community Learning 2: Working with Groups,EDUA08122,8
Domains of Practice 2: Introduction,EDUA08123,8
Community-Based Research 2: Understanding Organisations,EDUA08124,8
Health and Wellbeing Promotion in the University Community and Beyond,EDUA08125,30
Community Learning 3: Education and Action in Communities,EDUA09003,12
Community-Based Research 3:  Understanding Practitioner Research,EDUA09004,12
Domains of Practice 3: Critical Analysis,EDUA09005,12
Professional Practice Placement  3,EDUA09006,12
Additional Support for Learning: Inclusive Approaches,EDUA10082,8
Gender and Primary Education,EDUA10093,12
Cognitive and Social Child Development in Education,EDUA10150,13
Integrated Working in Children's Services,EDUA10154,28
Childhood Practice Research Project,EDUA10156,28
Childhood Studies Work Based Learning 2: Organisational Development,EDUA10157,33
Teaching in School 2,EDUA10160,126
Teaching in School 3,EDUA10161,132
PGDE Secondary Placement 3,EDUA10162,139
PGDE Secondary Placement 2,EDUA10163,127
PGDE secondary Placement 1,EDUA10164,126
Primary Literacies 2: Developing literacies in the middle and upper stages,EDUA10168,5
Educational Studies 4: Independent Research Project in Education,EDUA10172,99
Physical Education Perspectives 4,EDUA10175,92
Professional Development & Leadership 2,EDUA10176,95
Physical Education and Curriculum and Pedagogy 4: Aims and Concepts,EDUA10177,93
Physical Education Perspectives 3,EDUA10178,NA
Professional Development & Leadership 1,EDUA10179,98
Physical Education and Curriculum Pedagogy 3: National Awards,EDUA10180,94
Education and Gaelic in Scotland,EDUA10187,5
Primary Studies 3: Learning Through and For Practice (Gaelic),EDUA10189,5
Educational Studies 3: Teaching for Social Justice,EDUA10193,97
Theory and Pedagogy of Bilingual and Immersion Education,EDUA10198,5
Professional Experience and Practice (Gaelic-medium education),EDUA10202,8
Children's Rights: Policy and Practice,EDUA10204,42
Developing Talent,EDUA10206,40
Health and Wellbeing: Philosophical and Sociological Perspectives 3,EDUA10207,40
Health and Wellbeing - Philosophical and Sociological Perspectives 4,EDUA10208,NA
Philosophical and qualitative analysis of physical culture,EDUA10214,14
Teaching in School 1,EDUA10215,126
Reflecting on Professional Experience and Practice (Gaelic Medium Education),EDUA10216,2
Child and Adolescent Development,EDUA11034,44
Stress: Coping and Control,EDUA11038,45
Dynamics of Performance Teams,EDUA11039,47
Planning & Instruction for Performance,EDUA11040,42
Peak Performance,EDUA11041,46
Professional Skills in Development Environments,EDUA11042,47
Language Testing,EDUA11045,26
Professional Practice,EDUA11048,116
Conditioning Physiology,EDUA11053,23
Personal and Social Development and Outdoor Education: Critical Perspectives,EDUA11116,17
Outdoor Environmental Education: Concept-based Practice,EDUA11117,24
Interpreting the Landscape,EDUA11119,24
Ecology and Field Studies,EDUA11120,26
Comparative Approaches to Inclusive And Special Education,EDUA11174,25
Education Policy and the Politics of Education,EDUA11187,157
Professional Development Programme,EDUA11194,NA
Teaching texts across borders - from picture books to teenage fiction and film,EDUA11206,20
Dance Pedagogy,EDUA11209,41
Preventive Dance Medicine,EDUA11210,43
Online Language Learning,EDUA11212,125
Digital futures for learning,EDUA11214,16
Education for Environmental Citizenship,EDUA11215,14
Text, Discourse and Language Teaching,EDUA11233,63
Specific Learning Difficulties: Dyslexia (SpLD1),EDUA11235,9
Education for All,EDUA11236,27
Audiology and Audiometry,EDUA11238,7
Deaf Studies,EDUA11239,16
Inclusion of children with visual Impairment; Policy and Practice,EDUA11244,12
Language and the Learner,EDUA11248,345
Collaborative Working in Children's Services,EDUA11249,35
Evaluation and Design of TESOL Materials,EDUA11255,45
Second Language Teaching Curriculum,EDUA11257,228
Placement / Inclusion,EDUA11258,2
Investigating Individual Learner Differences,EDUA11282,129
Language Awareness for Second Language Teachers,EDUA11283,83
SECOND LANGUAGE TEACHER EDUCATION,EDUA11284,46
Preparing for Teaching2: Level 2 Education (Middle Primary Years),EDUA11286,1
Preparing for Teaching 3: Level 2 Education (Upper Primary Years),EDUA11287,6
PGDE Secondary Professional Studies,EDUA11288,131
PGDE Secondary Curriculum and Pedagogy,EDUA11289,126
PGDE Secondary Curriculum & Pedagogy (second subject),EDUA11290,5
Curriculum Plus 2 (Cross-cutting themes in secondary school classrooms),EDUA11291,42
Curriculum Plus 1 (Primary Specialisms),EDUA11292,57
Curriculum Plus 3 (General Science),EDUA11293,23
Corpus Linguistics and Language Teaching,EDUA11296,40
Sport Resource Management,EDUA11297,73
Sport and the Media,EDUA11298,3
Sport, Society and International Development,EDUA11299,93
Sport Marketing and Communications,EDUA11300,73
Sport Policy,EDUA11301,80
Social Theory and Outdoor Education,EDUA11304,14
Critical literacies and critical pedagogies in L1 and L2 contexts,EDUA11309,1
Foundations of International Child Protection,EDUA11314,NA
Digital Education: Strategy and Policy,EDUA11321,20
Course design for digital environments,EDUA11323,38
Theories and Politics of Social Justice,EDUA11324,28
Learning for Democracy,EDUA11327,26
Organisational Management for Social Justice,EDUA11328,16
TESOL Methodology,EDUA11329,230
Environmental Factors in Sport,EDUA11333,20
Comparative Analysis in Education,EDUA11336,29
Children and Technology,EDUA11337,14
The Curriculum: Context, Change, and Development,EDUA11338,61
Teachers as Agents of Change,EDUA11340,22
Cerebral Visual Impairment,EDUA11341,13
Inclusive pedagogy,EDUA11342,21
Developing as a Strategic Educational Leader,EDUA11343,48
Leading Strategic Educational Change (Specialist Qualification for Headship),EDUA11344,NA
Leading Change and School Improvement (Standard for Middle Leadership and Management),EDUA11346,12
Teaching Languages to Young Learners,EDUA11347,161
Youth Studies,EDUA11348,11
Developing as a Leader,EDUA11352,12
Extended Work Based Project,EDUA11353,10
Psychology of Learning and Teaching,EDUA11354,29
Community Engagement: co-constructing knowledge with communities,EDUA11358,32
The Philosophy of Education,EDUA11363,136
Subject Specialism: Mathematics (2),EDUA11366,1
Teacher Literacies,EDUA11367,17
Subject Specialism: English (1),EDUA11369,1
Assessing What Matters (2),EDUA11370,17
Assessing What Matters (1),EDUA11371,13
Children and Young People (2),EDUA11372,17
Numeracy, Learners and Learning,EDUA11373,14
Children and Young People (1),EDUA11374,13
Developing Teacher Professionalism (1),EDUA11375,13
Understanding the Nature of Knowledge and Curriculum,EDUA11376,13
Subject specialism: Nursery and Primary Curricular Areas (2),EDUA11380,14
Subject specialism: Nursery and Primary Curricular Areas (1),EDUA11381,11
Subject Specialism: English (2),EDUA11382,2
Literacy, Learners and Learning,EDUA11383,13
Developing Teacher Professionalism (2),EDUA11384,18
The Anthropology of Education and Learning,EDUA11385,137
Designing Educational Research,EDUA11386,9
Researching Your Teaching,EDUA11391,6
ADHD, Dyspraxia and Emotional & Behavioural Difficulties: an introduction,EDUA11395,12
Bilingual Learners and Specific Learning Difficulties,EDUA11396,1
Bilingual Learners and additional support needs,EDUA11397,1
Education Planning and Management,EDUA11400,39
Subject specialism: Languages (1),EDUA11401,1
Pedagogy and Practice of Friedrich Froebel for the early years,EDUA11403,19
Froebel, Social Justice and the Early Years,EDUA11404,31
Autism and Developmental Disabilities,EDUA11405,14
Involving Children and Young People: Research and Participation,EDUA11407,26
Global Childhoods and Human Rights,EDUA11408,15
Placement (Inclusion of pupils with visual impairment),EDUA11409,5
Bilingual Education,EDUA11412,40
Language and Intercultural Communication Pedagogy,EDUA11413,50
Ethics, Education and Films,EDUA11414,23
Language Education for Intercultural Citizenship,EDUA11415,48
Social Inequalities in Education Worldwide,EDUA11416,30
Higher Education in the Global Context,EDUA11418,40
Languages, Society and Education,EDUA11419,115
Assessment of Physical Activity and Body Composition,EDUA11420,25
Place-Based Education and Outdoor Learning in the City.,EDUA11421,14
Sustainability and Social Responsibility (PG),EDUA11424,13
Education and Conflict,EDUA11425,13
Child and Adolescent Mental Health and Wellbeing,EDUA11426,32
Intercultural Language Learner Identity,EDUA11428,23
Becoming a teacher educator,EDUA11430,NA
Coaching and Mentoring,EDUA11431,24
Autism Spectrum Disorder, Developmental Language Disorder and Dyslexia,EDUA11433,18
Global Governance and Education,EDUA11434,15
Introduction to Education and International Development,EDUA11436,27
Introduction to Comparative Education,EDUA11437,32
Promoting achievement and curriculum access for deaf learners,EDUA11439,20
Critical Topics in Intercultural Communication Studies,EDUA11440,47
Dimensions of Teaching,EDUA11441,127
Making and Conceptualising Curriculum,EDUA11442,127
Learning Spaces and Digital Technologies,EDUA11443,30
Critical Issues in Digital Education,EDUA11444,30
Critical Issues in Digital Education,EDUA11444,13
Internal Placement with deaf children / young people,EDUA11445,5
External Placement with deaf children / young people,EDUA11446,4
Digital Education in the Majority World: Concepts, Technologies, and Methods,EDUA11448,2
Pedagogies,EDUA11449,126
Education for the Environment and Sustainability,EDUA11450,15
Designing Curricula and Learning Environments,EDUA11451,NA
Outdoor and Environmental Education Praxis,EDUA11452,24
Philosophy of Education - Future Directions,EDUA11453,22
Becoming an engaging teacher,EDUA11454,44
Clinical Education in Practice,EDUA11455,NA
Emerging Issues in Academic Practice,EDUA11456,NA
Sport and Culture Industry,EDUA11457,77
The Developing Multilingual Learner,EDUA11458,16
Multilingual Learners and Additional Support Needs,EDUA11460,NA
Professional Development and Leadership in Dance Teaching in the Community (PDLDT-C),EDUA11461,5
Slow Knowledge and the Unhurried Child,EDUA11462,23
Researching Global Challenges 1,EFIE07001,35
Reflections on Interdisciplinary Practice 1: Foundations,EFIE07003,33
Currents: Understanding and addressing global challenges,EFIE08001,58
Creating Edinburgh: The Interdisciplinary City,EFIE08002,73
Students as Change Agents,EFIE08003,66
Ethics and Politics of Data,EFIE08004,26
Sustainable Development Goals: History, Progress and Beyond 2030,EFIE08008,39
Representing Data (fusion online),EFIE11001,13
Representing Data (fusion on-site),EFIE11002,77
Text Remix (fusion online),EFIE11003,20
Text Remix (fusion on-site),EFIE11004,56
Text Mining for Social Research (fusion online),EFIE11005,6
Text Mining for Social Research (fusion on-site),EFIE11006,22
Narratives of Digital Capitalism (fusion on-site),EFIE11007,19
Narratives of Digital Capitalism (fusion online),EFIE11008,3
Digital Influence (fusion online),EFIE11009,5
Digital Influence (fusion on-site),EFIE11010,23
Value and value creation (fusion online),EFIE11013,NA
Value and value creation (fusion on-site),EFIE11014,12
Intellectual Property in the Creative Industries,EFIE11015,19
Creative Markets,EFIE11016,19
The Future of Learning Organisations (fusion online),EFIE11017,8
The Future of Learning Organisations (fusion on-site),EFIE11018,15
Data Science for Society (fusion online),EFIE11019,2
Data Science for Society (fusion on-site),EFIE11020,25
Interdisciplinary Futures (fusion on-site),EFIE11023,143
Interdisciplinary Futures (fusion online),EFIE11024,37
Insights Through Data (fusion on-site),EFIE11025,74
Insights Through Data (fusion online),EFIE11026,14
Ethical Data Futures (fusion on-site),EFIE11027,147
Ethical Data Futures (fusion online),EFIE11028,25
Building Near Futures (fusion on-site),EFIE11029,68
Building Near Futures (fusion online),EFIE11030,15
Cities as Creative Sites: Urban Studio (fusion on-site),EFIE11032,17
Cities as Creative Sites: Urban Studio (fusion online),EFIE11033,1
Strategic Change Leadership for Creative Industries (fusion on-site),EFIE11036,14
Strategic Change Leadership for Creative Industries (fusion online),EFIE11037,2
Critical Creative Diversity (fusion on-site),EFIE11038,16
Critical Creative Diversity (fusion online),EFIE11039,NA
Exclusion and Inequality (fusion on-site),EFIE11040,23
Exclusion and Inequality (fusion online),EFIE11041,5
Inclusive Society (fusion on-site),EFIE11042,21
Inclusive Society (fusion online),EFIE11043,5
Coloniality of Data (fusion on-site),EFIE11044,20
Coloniality of Data (fusion online),EFIE11045,8
Migration and Forced Displacement in a Digital Age (fusion on-site),EFIE11050,15
Migration and Forced Displacement in a Digital Age (fusion online),EFIE11051,1
Power, Data and Inequality in Value Chains (fusion on-site),EFIE11052,11
Power, Data and Inequality in Value Chains (fusion online),EFIE11053,4
Work Futures (fusion on-site),EFIE11054,23
Work Futures (fusion online),EFIE11055,7
Educating for a Challenging Future (fusion on-site),EFIE11056,17
Educating for a Challenging Future (fusion online),EFIE11057,6
Culture, Heritage and Learning Futures (fusion on-site),EFIE11058,22
Culture, Heritage and Learning Futures (fusion online),EFIE11059,8
Learning and Resilience (fusion on-site),EFIE11062,10
Learning and Resilience (fusion online),EFIE11063,7
Relationality, Creative Practice and Education (fusion on-site),EFIE11064,14
Relationality, Creative Practice and Education (fusion online),EFIE11065,3
Education, Personalisation and Surveillance (fusion on-site),EFIE11066,13
Education, Personalisation and Surveillance (fusion online),EFIE11067,4
Educational Technologies (EdTech) and Entrepreneurship (fusion on-site),EFIE11068,12
Educational Technologies (EdTech) and Entrepreneurship (fusion online),EFIE11069,3
Digital Democratic Innovations (fusion on-site),EFIE11070,15
Digital Democratic Innovations (fusion online),EFIE11071,4
Future Governance (fusion on-site),EFIE11072,16
Future Governance (fusion online),EFIE11073,3
Datafication, Accountability and Democracy (fusion on-site),EFIE11074,13
Datafication, Accountability and Democracy (fusion online),EFIE11075,3
Data Civics (fusion on-site),EFIE11078,17
Data Civics (fusion online),EFIE11079,2
Evidence, Argument and Persuasion in a Digital Age (fusion on-site),EFIE11080,20
Evidence, Argument and Persuasion in a Digital Age (fusion online),EFIE11081,3
The World of Story: Narrative, Creativity and the Arts (fusion on-site),EFIE11082,21
The World of Story: Narrative, Creativity and the Arts (fusion online),EFIE11083,5
The World as Story: Narrative, Self and Society (fusion on-site),EFIE11084,20
The World as Story: Narrative, Self and Society (fusion online),EFIE11085,3
Creating Visual Narratives (fusion on-site),EFIE11086,22
Creating Visual Narratives (fusion online),EFIE11087,2
Narrative and Computational Text Analysis (fusion on-site),EFIE11088,13
Narrative and Computational Text Analysis (fusion online),EFIE11089,2
Writing Speculative Fiction (fusion on-site),EFIE11090,9
Writing Speculative Fiction (fusion online),EFIE11091,4
Gamifying Historical Narratives (fusion on-site),EFIE11092,17
Gamifying Historical Narratives (fusion online),EFIE11093,3
Pitching Your Stories, Services and Products (fusion on-site),EFIE11094,21
Pitching Your Stories, Services and Products (fusion online),EFIE11095,NA
Religious Identity Through Story (fusion on-site),EFIE11096,11
Religious Identity Through Story (fusion online),EFIE11097,3
Story Roots for Sustainable Futures (fusion on-site),EFIE11098,14
Story Roots for Sustainable Futures (fusion online),EFIE11099,5
Introduction to Service Design (fusion on-site),EFIE11100,14
Introduction to Service Design (fusion online),EFIE11101,1
Introduction to Service Management (fusion on-site),EFIE11102,13
Introduction to Service Management (fusion online),EFIE11103,3
Data-Driven Innovation in Services (fusion on-site),EFIE11104,19
Data-Driven Innovation in Services (fusion online),EFIE11105,2
Introduction to Participatory Methods (fusion on-site),EFIE11106,11
Introduction to Participatory Methods (fusion online),EFIE11107,4
Applied Co-creation (fusion on-site),EFIE11110,11
Applied Co-creation (fusion online),EFIE11111,1
Inter-organisational Working and Collaboration (fusion on-site),EFIE11112,16
Inter-organisational Working and Collaboration (fusion online),EFIE11113,2
Service Marketing and Communications (fusion on-site),EFIE11114,22
Service Marketing and Communications (fusion online),EFIE11115,1
Client Consulting Project,EFIE11118,19
Knowledge Integration and Project Planning: Creative Industries,EFIE11119,19
Creative Industries Team Project,EFIE11120,19
Knowledge Integration and Project Planning: Data, Inequality and Society (fusion on-site),EFIE11121,20
Knowledge Integration and Project Planning: Data, Inequality and Society (fusion online),EFIE11122,5
Futures Project: Data, Inequality and Society (fusion on-site),EFIE11123,20
Futures Project: Data, Inequality and Society (fusion online),EFIE11124,5
Knowledge Integration and Project Planning: Education Futures (fusion on-site),EFIE11125,15
Knowledge Integration and Project Planning: Education Futures (fusion online),EFIE11126,4
Futures Project: Education Futures (fusion on-site),EFIE11127,15
Futures Project: Education Futures (fusion online),EFIE11128,4
Knowledge Integration and Project Planning: Future Governance (fusion on-site),EFIE11129,16
Knowledge Integration and Project Planning: Future Governance (fusion online),EFIE11130,2
Futures Project: Future Governance (fusion on-site),EFIE11131,16
Futures Project: Future Governance (fusion online),EFIE11132,2
Knowledge Integration and Project Planning: Narrative Futures: Art, Data and Society (fusion on-site),EFIE11133,19
Knowledge Integration and Project Planning: Narrative Futures: Art, Data and Society (fusion online),EFIE11134,2
Futures Project: Narrative Futures: Art, Data and Society (fusion on-site),EFIE11135,19
