courseName,courseCode,cohortSize
Sustainable Architecture, Structural Form and Embodied Energy,ARCH10048,47
Landscape Fieldwork Lab,ARCH10049,15
Landscape Architecture: Contemporary Theory & Practice,ARCH10050,12
Interior Design 3A: Research and Practice,ARCH10051,20
Interior Design 3C: Externality,ARCH10052,21
Lighting Design for Spaces,ARCH10053,19
Interior Design 3B: Design Studio,ARCH10054,20
Interior Design 4A: Design Research and Practice,ARCH10055,22
Interior Design 4B: Design Studio,ARCH10056,22
Interior Design 4C: Design Exposition,ARCH10057,22
Landscape Architecture Design 4A,ARCH10058,12
Digital Media Studio Project,ARCH11006,33
Interactive Sound Environments,ARCH11010,47
Design Project 1,ARCH11014,27
Design Research Project,ARCH11015,29
Design Project 2,ARCH11021,29
Readings in Contemporary Architectural Theory,ARCH11022,27
Update in Architectural Management,ARCH11024,NA
Dissertation for MSc by Research in Sound Design,ARCH11032,NA
Architecture Dissertation,ARCH11034,NA
Sustainable Theory and Contexts,ARCH11038,27
Sustainable Design Methodologies,ARCH11039,27
Advanced Sustainable Design Project,ARCH11041,28
Advanced Sustainable Design Dissertation,ARCH11043,28
Design Report,ARCH11069,76
Design Report,ARCH11069,1
Studies in Contemporary Architectural Theory,ARCH11070,42
Studies in Contemporary Architectural Theory,ARCH11070,1
Architectural Technology Research,ARCH11075,38
Research Skills and Methods,ARCH11081,27
Researching Cultures,ARCH11088,NA
Architectural Design Studio C (Modular),ARCH11089,70
Architectural Design Studio D (Modular),ARCH11090,69
Architectural Design Studio C (Integrated),ARCH11091,16
Architectural Design Studio D (Integrated),ARCH11092,16
Architectural Design Studio A (Integrated),ARCH11093,26
Architectural Design Studio B (Modular),ARCH11096,3
Architectural Design Studio B (Modular),ARCH11096,1
History and Theory of Conservation,ARCH11129,22
Architectural Design Studio H,ARCH11174,25
Building Analysis,ARCH11194,22
Culture and performance in the history of construction,ARCH11195,33
Urban Conservation,ARCH11196,22
MSc Dissertation,ARCH11197,23
World Heritage,ARCH11198,31
USD Dissertation,ARCH11201,13
Urban Project,ARCH11204,13
MSc by Research in Cultural Studies Dissertation,ARCH11205,NA
Placement 2 at Escola Tecnica Superior d'Arquitectura de Barcelona (ESTAB), Barcelona,ARCH11207,1
EMiLA Summer-school, Ecole Nationale Superieure du Paysage (Versailles),ARCH11213,NA
Urban Project B,ARCH11222,NA
Urban Project A,ARCH11223,1
Cultural Landscapes Colloquium,ARCH11226,17
Histories and Theories of Architecture,ARCH11234,4
Dissertation (MSc Architectural History and Theory),ARCH11235,1
Architectural History and Theory Work Placement (20 credits),ARCH11240,1
Topics in Environmental Humanities,ARCH11246,11
MSc Dissertation in Landscape and Wellbeing,ARCH11260,22
Landscape and Wellbeing : Research Strategies & Methods,ARCH11261,23
Landscape and Wellbeing: Theoretical Foundations,ARCH11262,22
Landscape Design for Health and Wellbeing,ARCH11263,31
Building Simulation Principles,ARCH11265,24
Building Simulation Applications,ARCH11266,14
Master in landscape architecture: Academic Portfolio,ARCH11269,32
Landscape architecture design exploration: Part 2,ARCH11270,32
Landscape architecture design exploration: Part 2,ARCH11270,1
Landscape architecture design exploration: Part 1,ARCH11271,39
Situating landscape architectural theory,ARCH11272,53
Landscape architecture design: Context and Grounding,ARCH11273,45
Landscape architecture techniques: Material Knowledge and Detailed Design,ARCH11274,45
Landscape architecture techniques: Ground-Works and Construction Design,ARCH11276,45
Data Acquisition and Analysis for Person-Environment Studies,ARCH11277,23
Emergent Cities,ARCH11279,10
Landscape Architecture Design: Terrain & Ecologies,ARCH11280,45
Thinking With Fire (Level 11),ARCH11281,2
Reading Interiors,ARCH11282,30
Adapting Interiors,ARCH11283,30
Connecting Interiors,ARCH11284,32
Intersections,ARCH11285,32
Time and Environment,ARCH11286,3
Exploring Situated Methods 1: Site-Specific Field Lab,ARCH11287,5
Exploring Situated Methods 2: Independent Field Lab,ARCH11288,5
Urban Data Science with R for Sustainable Cities and Communities,ARCH11290,NA
Architecture, Landscape & Environment: Situated Research Project,ARCH11292,5
Technology & Environment 3,ARDE10002,14
Conservation Technology,AREA11017,23
Architectural History 1B: Revivalism to Modernism,ARHI08004,201
Architectural History and Heritage in Practice,ARHI08008,34
Architectural History and Heritage in Practice,ARHI08008,1
Architectural History 1A: Introduction to World Architecture,ARHI08009,197
Urbanism and the City: Past to Present,ARHI08010,162
Architectural History Dissertation,ARHI10002,13
Georgian Architecture 1715-1830,ARHI10011,16
Structure and Architecture: The Birth of the Design Team,ARHI10019,7
Texts and Theories in Western Architecture,ARHI10026,10
Architecture in Scotland before 1650,ARHI10038,14
Building for Culture: the Architecture of the Museum,ARHI10042,4
Architecture in Britain, 1951-97: Brutalism and Beyond,ARHI10048,15
Architectural History and Heritage Work Placement,ARHI10050,11
Architectural Historiography in Practice,ARHI10060,4
Studies in Architectural History,ARHI10061,7
Advanced Studies in British Imperial and Colonial Architecture,ARHI11004,NA
Advanced Studies in Post-War British Architecture,ARHI11008,NA
British Architecture in the Long Eighteenth Century,ARHI11010,NA
Architectural Theory: Texts and Discourses,ARHI11011,4
Urban Design Theory,ARHW11035,14
Architecture Dissertation,ARJA10002,76
Professional Studies,ARJA10004,25
Academic Portfolio 2,ARJA11001,76
Academic Portfolio 2,ARJA11001,1
Architectural Management, Practice and Law,ARJA11002,77
Architectural Design Studio G,ARJA11003,3
Introduction to the Artists' Book,ARTX08054,21
Black and White Analogue Photographic Practice: The Portrait,ARTX08055,14
Black and White Analogue Photographic Practice: The Portrait,ARTX08055,12
Drawn From the City,ARTX08058,27
Drawn From the City,ARTX08058,32
Outside Now (Site Specific Art, Research and Practice),ARTX08059,33
Sustainable Sculpture Practice,ARTX08064,34
Art: Studio 1A,ARTX08066,NA
Art: Studio 1B,ARTX08067,2
Body As Artistic Material,ARTX08072,24
Art Practice 2,ARTX08075,101
Artistic Research 2,ARTX08076,84
Fine Art Printmaking: An introduction to multiples as artistic expression and strategy,ARTX08082,15
Approaches to Visual Culture,ARTX08086,1
Critical and Cultural Theories of Contemporary Art,ARTX08087,89
Adventures in Drawing,ARTX08088,39
Introduction to the Moving Image: Expanded History of Cinema,ARTX08089,38
Art in Practice 1,ARTX08090,97
Art in Context 1,ARTX08091,78
Presentation: Methods & Context 3,ARTX09073,80
Visual Culture Research Project (20 credit),ARTX10036,78
Presentation: Methods & Context 4,ARTX10037,89
Art Practice 4,ARTX10038,89
Visual Culture Research Project (40 credit),ARTX10040,11
Artistic Research - Themes and Methods,ARTX10048,85
Art Practice 3A,ARTX10049,10
Art Practice 3B,ARTX10050,8
Contemporary Artistic Research,ARTX10051,100
MA FINE ART 4 STUDIO AND RESEARCH,ARTX10054,22
Art as Process: Ways of Learning, Making, Working Together,ARTX10055,24
Popular not Populist - Contemporary Art 'lost' in the mainstream,ARTX10056,22
Art Practice 3,ARTX10058,97
Gendered Soundings? Sound art & feminism,ARTX10059,24
