Name of Department,Module ID,Name of Module,Name of Type,Activity ID,Name,Day,Start Time,End Time,Whole-Class/Subgroup,Size,Real Size,Duration,Weeks,Number of weeks,Room,Building,Campus
Edinburgh College of Art,MUSI08057_SV1_SEM1,Creative Music Technology,*Tutorial,#SPLUSEC0A0D,Creative Music Technology - Tutorial/04,Mon,14:00,15:00,,11,11,2,Sem1 wk2-Sem1 wk11,10,ALH_Faculty Room 2.02,Alison House,*Central
Edinburgh College of Art,MUSI08057_SV1_SEM1,Creative Music Technology,*Tutorial,#SPLUSEC0A0B,Creative Music Technology - Tutorial/03,Mon,12:00,13:00,,11,11,2,Sem1 wk2-Sem1 wk11,10,ALH_Faculty Room 2.02,Alison House,*Central
Edinburgh College of Art,MUSI08057_SV1_SEM1,Creative Music Technology,*Tutorial,#SPLUSEC0A09,Creative Music Technology - Tutorial/02,Mon,11:00,12:00,,11,10,2,Sem1 wk2-Sem1 wk11,10,ALH_Faculty Room 2.02,Alison House,*Central
Edinburgh College of Art,MUSI08057_SV1_SEM1,Creative Music Technology,*Tutorial,#SPLUSEC0A07,Creative Music Technology - Tutorial/01,Mon,10:00,11:00,,11,11,2,Sem1 wk2-Sem1 wk11,10,ALH_Faculty Room 2.02,Alison House,*Central
Edinburgh College of Art,DESI08010_SV1_SEM1,Contemporary Cinema,*Seminar,#SPLUSEC0879,Contemporary Cinema - Seminar/12,Fri,14:00,15:00,,13,12,2,Sem1 wk2-Sem1 wk11,10,LLTC_1.4,Lister Learning and Teaching Centre,*Central
Edinburgh College of Art,DESI08010_SV1_SEM1,Contemporary Cinema,*Seminar,#SPLUSEC0877,Contemporary Cinema - Seminar/11,Fri,12:00,13:00,,13,12,2,Sem1 wk2-Sem1 wk11,10,MIN_SR2,Minto House,*Central
Edinburgh College of Art,DESI08010_SV1_SEM1,Contemporary Cinema,*Seminar,#SPLUSEC0875,Contemporary Cinema - Seminar/10,Fri,11:00,12:00,,13,9,2,Sem1 wk2-Sem1 wk11,10,MIN_SR2,Minto House,*Central
Edinburgh College of Art,DESI08010_SV1_SEM1,Contemporary Cinema,*Seminar,#SPLUSEC0873,Contemporary Cinema - Seminar/09,Fri,10:00,11:00,,13,7,2,Sem1 wk2-Sem1 wk11,10,MIN_SR2,Minto House,*Central
Edinburgh College of Art,DESI08010_SV1_SEM1,Contemporary Cinema,*Seminar,#SPLUSEC0871,Contemporary Cinema - Seminar/08,Thu,14:00,15:00,,13,7,2,Sem1 wk2-Sem1 wk11,10,PL_M2 - COL,Patersons Land,*Holyrood
Edinburgh College of Art,DESI08010_SV1_SEM1,Contemporary Cinema,*Seminar,#SPLUSEC086F,Contemporary Cinema - Seminar/07,Thu,12:00,13:00,,13,11,2,Sem1 wk2-Sem1 wk11,10,40GS_12.18,40 George Square,*George Square/Buccleuch
Edinburgh College of Art,DESI08010_SV1_SEM1,Contemporary Cinema,*Seminar,#SPLUSEC086D,Contemporary Cinema - Seminar/06,Thu,11:00,12:00,,13,10,2,Sem1 wk2-Sem1 wk11,10,OUT_B1.08,Outreach Centre,*Holyrood
Edinburgh College of Art,DESI08010_SV1_SEM1,Contemporary Cinema,*Seminar,#SPLUSEC086B,Contemporary Cinema - Seminar/05,Thu,10:00,11:00,,13,6,2,Sem1 wk2-Sem1 wk11,10,MIN_SR3,Minto House,*Central
Edinburgh College of Art,DESI08010_SV1_SEM1,Contemporary Cinema,*Seminar,#SPLUSEC0869,Contemporary Cinema - Seminar/04,Wed,14:00,15:00,,13,12,2,Sem1 wk2-Sem1 wk11,10,MIN_SR3,Minto House,*Central
Edinburgh College of Art,DESI08010_SV1_SEM1,Contemporary Cinema,*Seminar,#SPLUSEC0867,Contemporary Cinema - Seminar/03,Wed,12:00,13:00,,13,8,2,Sem1 wk2-Sem1 wk11,10,CL_3.02,Charteris Land,*Holyrood
Edinburgh College of Art,DESI08010_SV1_SEM1,Contemporary Cinema,*Seminar,#SPLUSEC0865,Contemporary Cinema - Seminar/02,Wed,11:00,12:00,,13,11,2,Sem1 wk2-Sem1 wk11,10,40GS_12.18,40 George Square,*George Square/Buccleuch
Edinburgh College of Art,DESI08010_SV1_SEM1,Contemporary Cinema,*Seminar,#SPLUSEC0863,Contemporary Cinema - Seminar/01,Wed,10:00,11:00,,13,8,2,Sem1 wk2-Sem1 wk11,10,MIN_SR2,Minto House,*Central
Edinburgh College of Art,DESI08010_SV1_SEM1,Contemporary Cinema,*Lecture - Online Pre-recorded,#SPLUSEC0847,Contemporary Cinema - Lecture,Mon,13:00,15:00,WC,60,113,4,"Sem1 wk3, Sem1 wk5",2,0,0,0
Edinburgh College of Art,DESI08010_SV1_SEM1,Contemporary Cinema,*Lecture - Online Pre-recorded,#SPLUSEC07EE,Contemporary Cinema - Lecture,Mon,13:00,15:00,WC,200,113,4,"Sem1 wk2, Sem1 wk4, Sem1 wk6-Sem1 wk11",8,0,0,0
Deanery of Biomedical Sciences,BMTOADHOC_SV1_YR,Ad-Hoc Bookings - Biomedical Sciences,*Practical,#SPLUS3783F1,Clinical Biochemistry and Endocrinology 3 - Practical (Room Booking),Thu,9:00,10:00,WC,50,0,2,Sem1 wk6-Sem1 wk9,4,MST_Room 452 East/West Lab - Doorway 3,"Medical School, Teviot",*Central
School of Divinity,DIVI08001_SV1_SEM1,"Religion, Violence and Peacebuilding",*Tutorial,#SPLUS08F7EF,"Religion, Violence and Peacebuilding - Tutorial/10",Thu,14:00,15:00,,14,13,2,Sem1 wk2-Sem1 wk11,10,NC_McIntyre Room,New College,*New College
School of Divinity,DIVI08001_SV1_SEM1,"Religion, Violence and Peacebuilding",*Tutorial,#SPLUS08F7ED,"Religion, Violence and Peacebuilding - Tutorial/09",Thu,13:00,14:00,,14,14,2,Sem1 wk2-Sem1 wk11,10,NC_McIntyre Room,New College,*New College
School of Law,LAWS08134_SV1_SEM1,Business Entities,*Tutorial,#SPLUS08E5F4,Business Entities Ord LAWS08134 - Tutorial/23,Mon,15:00,16:00,,12,12,2,"Sem1 wk5, Sem1 wk7, Sem1 wk9, Sem1 wk11",4,LLTC_G.12,Lister Learning and Teaching Centre,*Central
Business School,CMSE11392_SS1_YR,Professional Development (MBA),*Workshop,#SPLUS0848A2,PD Delivering Presentations (MBA) - Workshop/04,Thu,15:30,17:30,,20,0,4,Sem1 wk2,1,BS_MBA Suite,Business School,*George Square/Buccleuch
School of Law,LAWS08133_SV1_YR,Property Law (Ordinary),*Tutorial,#SPLUS0845DB,Property Law Ord LAWS08133 - S1 - Tutorial/25,Tue,9:00,10:00,,12,13,2,"Sem1 wk2, Sem1 wk4, Sem1 wk6, Sem1 wk8, Sem1 wk10",5,LLTC_2.18,Lister Learning and Teaching Centre,*Central
