courseCode,cohortSize,Campus
ARCA08013,63,*Central
ARCA08013,63,*Central
ARCA08013,63,*Central
ARCA08013,63,*Central
ARCA08013,63,*Central
ARCA08013,63,*Central
ARCA08013,63,*Central
ARCA08013,63,0
ARCA08013,63,0
ARCA08013,63,0
ARCA08013,63,0
ARCA08013,63,0
ARCA08013,63,0
ARCA08013,63,0
ARCA08013,63,0
ARCA08014,41,*Central
ARCA08014,41,*Central
ARCA08014,41,*Central
ARCA08014,41,*Central
ARCA08014,41,*Central
ARCA08014,41,*Central
ARCA08014,41,*Central
ARCA10013,3,*Central
ARCA10065,48,*Central
ARCA10099,15,*Central
ARCA10099,15,*Central
ARCH08001,115,*Central
ARCH08001,115,*Central
ARCH08001,115,*Central
ARCH08001,115,*Central,*Central
ARCH08001,115,*Central,*Central
ARCH08007,103,*Central
ARCH08007,103,*Central
ARCH08007,103,*Central
ARCH08028,103,*Central
ARCH08028,103,*Central
ARCH08028,103,*Central
ARCH08028,103,*Holyrood
ARCH08028,103,*Holyrood
ARCH08028,103,*Holyrood
ARCH08028,103,*Holyrood
ARCH08028,103,*Central
ARCH08028,103,*Holyrood
ARCH08028,103,*Holyrood
ARCH08028,103,*Holyrood
ARCH08028,103,*Central
ARCH08028,103,*Lauriston
ARCH08031,16,*Lauriston
ARCH08031,16,*Lauriston
ARCH08031,16,*Lauriston
ARCH08031,16,*Lauriston
ARCH08040,15,*Lauriston
ARCH08040,15,*Lauriston
ARCH08040,15,*Central
ARCH08040,15,*Central
ARCH08040,15,*Central
ARCH08041,15,*Central
ARCH08041,15,*Central
ARCH08041,15,0
ARCH08046,16,*Central
ARCH08049,16,*Lauriston
ARCH08049,16,*Lauriston
ARCH08049,16,*Lauriston
ARCH08049,16,*King's Buildings
ARCH08051,123,*Central
ARCH08051,123,*Central
ARCH08054,8,*Lauriston
ARCH08054,8,*Lauriston
ARCH08054,8,*Lauriston
ARCH08054,8,*Lauriston
ARCH08055,15,0
ARCH08055,15,*Lauriston
ARCH08056,27,*Lauriston
ARCH08056,27,*Lauriston
ARCH08056,27,*Lauriston
ARCH08057,27,*Lauriston
ARCH08057,27,*Lauriston
ARCH08058,16,*Lauriston
ARCH08058,16,*Lauriston
ARCH10001,117,*Central
ARCH10001,117,*Central
ARCH10001,117,*Central,*Central
ARCH10001,117,*Central,*Central
ARCH10002,118,*Central
ARCH10002,118,*George Square/Buccleuch
ARCH10002,118,*George Square/Buccleuch
ARCH10002,118,*George Square/Buccleuch
ARCH10002,118,*George Square/Buccleuch
ARCH10002,118,*Central
ARCH10002,118,*Central
ARCH10002,118,*Central
ARCH10002,118,*Central
ARCH10022,12,*Central
ARCH10022,12,*Central
ARCH10022,12,*Central
ARCH10022,12,*Central
ARCH10029,12,*Central
ARCH10029,12,*Central
ARCH10029,12,*Central
ARCH10029,12,*Central
ARCH10029,12,*Central
ARCH10038,17,*Central
ARCH10038,17,*Central
ARCH10038,17,*Central
ARCH10043,12,*Central
ARCH10043,12,*Central
ARCH10043,12,*Central
ARCH10047,14,*Central
ARCH10047,14,*Central
ARCH10048,47,0
ARCH10048,47,0
ARCH10048,47,0
ARCH10048,47,*Central
ARCH10048,47,*George Square/Buccleuch
ARCH10048,47,*Central
ARCH10048,47,0
ARCH10049,15,*Holyrood
ARCH10049,15,*Holyrood
ARCH10049,15,0
ARCH10050,12,*New College
ARCH10051,20,*Lauriston
ARCH10051,20,*Lauriston
ARCH10051,20,*Lauriston
ARCH10051,20,*Lauriston
ARCH10051,20,*Lauriston
ARCH10051,20,*Lauriston
ARCH10053,19,*Central
ARCH10053,19,*Lauriston
ARCH10053,19,*Lauriston
ARCH10055,22,*Lauriston
ARCH10055,22,*Lauriston
ARCH10055,22,*Lauriston
ARCH10056,22,*Lauriston
ARCH10056,22,*Lauriston
ARCH10056,22,*Central
ARCH10056,22,*George Square/Buccleuch
ARCH11014,27,*Central
ARCH11014,27,*Central
ARCH11014,27,*Central
ARCH11038,27,*Central
ARCH11038,27,*Central
ARCH11039,27,*Central
ARCH11039,27,*Central
ARCH11043,28,*Central
ARCH11075,38,0
ARCH11075,38,*Central
ARCH11075,38,*Central
ARCH11075,38,*Central
ARCH11075,38,*Central
ARCH11075,38,*Central
ARCH11075,38,*Lauriston
ARCH11075,38,0
ARCH11075,38,0
ARCH11075,38,0
ARCH11075,38,*Central
ARCH11081,27,*Central
ARCH11089,70,*Central,*Central,*Central,*Central,*Central
ARCH11089,70,*Central,*Central,*Central,*Central,*Central
ARCH11091,16,*Central,*Central,*Central,*Central,*Central
ARCH11091,16,*Central,*Central,*Central,*Central,*Central
ARCH11093,26,*Central,*Central,*Central,*Central,*Central
ARCH11093,26,*Central,*Central,*Central,*Central,*Central
ARCH11129,22,*Central
ARCH11129,22,*Central
ARCH11129,22,*Central
ARCH11129,22,*Central
ARCH11196,22,*Central
ARCH11196,22,*Central
ARCH11196,22,*Central
ARCH11196,22,*Central
ARCH11196,22,*Central
ARCH11196,22,*Central
ARCH11198,31,*Central
ARCH11198,31,*Central
ARCH11198,31,*Central
ARCH11198,31,*Central
ARCH11198,31,*Central
ARCH11198,31,*Central
ARCH11198,31,*Central
ARCH11198,31,*Central
ARCH11198,31,*Central
ARCH11198,31,*Central
ARCH11198,31,*Central
ARCH11198,31,*Central
ARCH11198,31,*Central
ARCH11198,31,*Central
ARCH11198,31,*Central
ARCH11198,31,*Central
ARCH11198,31,*Central
ARCH11198,31,*Central
ARCH11198,31,*Central
ARCH11198,31,*Central
ARCH11226,17,*Central
ARCH11226,17,*Central
ARCH11246,11,*Central
ARCH11261,23,*Central
ARCH11261,23,*Central
ARCH11261,23,*Central
ARCH11261,23,*Lauriston
ARCH11261,23,*Central
ARCH11261,23,*Central
ARCH11262,22,*Lauriston
ARCH11262,22,*Lauriston
ARCH11262,22,*Lauriston
ARCH11262,22,*Central
ARCH11262,22,*Lauriston
ARCH11262,22,*Lauriston
ARCH11262,22,*Lauriston
ARCH11262,22,*Central
ARCH11265,24,*Central
ARCH11265,24,*Central
ARCH11265,24,*Central
ARCH11269,32,0
ARCH11271,39,*Lauriston
ARCH11271,39,*Lauriston
ARCH11271,39,*Lauriston
